symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000261596.2	AC005632.2	1.22762927309131	2.90454208472972	5.80874276634011	4.22685333764598e-08	0.000739234380220905	7.65321718331515
ENSG00000225972.1	MTND1P23	-3.06375119178433	1.11379268681669	-5.32244453001457	4.09791893787078e-07	0.0035834252152211	4.92382314217301
ENSG00000156414.19	TDRD9	2.06045274204244	1.10729043567667	4.51953641198142	1.3308531616074e-05	0.077584303144506	2.31884692755572
ENSG00000223509.8	AC135983.2	0.888662889201432	3.79736904394456	4.32066872952793	2.9753450306872e-05	0.130089523104221	2.1776259244804
ENSG00000018189.13	RUFY3	0.517609104472356	5.13474003897198	3.69135170586516	0.000321510254710978	0.14840956919373	0.137874208755259
ENSG00000019991.17	HGF	0.679342267607036	4.32755468239068	3.8378755939158	0.00018909013148747	0.14840956919373	0.598461792446577
ENSG00000054523.17	KIF1B	0.746611229218803	4.63302700506556	3.69336403912579	0.000319206579309347	0.14840956919373	0.144804817712487
ENSG00000079385.22	CEACAM1	1.19382064624013	5.43744226115702	3.99308831013103	0.000106083179716457	0.14840956919373	1.11140282073497
ENSG00000100029.18	PES1	-0.7166137338359	4.17894037481004	-3.94388836123953	0.000127634275879404	0.14840956919373	0.914249954447277
ENSG00000100280.16	AP1B1	-0.701499366566147	7.17068652845278	-3.90161083986917	0.000149428051367688	0.14840956919373	0.809602976867584
ENSG00000100418.8	DESI1	-0.439819526637453	4.03215564411936	-3.73454309106578	0.000275359842129588	0.14840956919373	0.257353390008052
ENSG00000100485.12	SOS2	0.828206160734175	4.72302272542632	3.76044485943427	0.000250772141955902	0.14840956919373	0.354845120316871
ENSG00000100889.11	PCK2	-0.663311995782121	4.96579370627789	-3.7458241325063	0.000264382743909626	0.14840956919373	0.30636880517117
ENSG00000100979.15	PLTP	-1.13358020605898	6.85331236780313	-3.84882798787225	0.000181628621967409	0.14840956919373	0.637614478350305
ENSG00000110080.18	ST3GAL4	1.35097240695168	2.53836925272662	3.85562671473821	0.000177138563305763	0.14840956919373	0.560957629816394
ENSG00000111725.11	PRKAB1	-0.547427555603171	5.88668528867668	-3.78739796628558	0.000227404517209403	0.14840956919373	0.44103101576871
ENSG00000121933.19	TMIGD3	-0.708676959365974	7.56013301327435	-3.69052303029818	0.000322463470144762	0.14840956919373	0.135170133446962
ENSG00000127838.14	PNKD	-0.440201237515018	5.71172528620977	-3.70308987969462	0.000308291139693395	0.14840956919373	0.1750647573843
ENSG00000130487.8	KLHDC7B	-1.29637265591968	0.63110033746636	-4.02500912074652	9.40081366725573e-05	0.14840956919373	0.206284714934516
ENSG00000131018.23	SYNE1	0.770334966306539	5.42132284752064	3.75085684236946	0.000259620585777257	0.14840956919373	0.324305429981879
ENSG00000132825.7	PPP1R3D	1.13180069774727	3.37577353219487	3.85002506727658	0.000180830270872789	0.14840956919373	0.603304078887652
ENSG00000134575.10	ACP2	-0.639890985489057	4.92185673176339	-3.87917102587925	0.000162390988381338	0.14840956919373	0.72711193789562
ENSG00000154548.9	SRSF12	0.929315789967238	1.07263899503249	3.88956436957537	0.000156259336038424	0.14840956919373	0.36227390896149
ENSG00000158089.15	GALNT14	2.00382516403752	-0.470528509769366	3.76017180474201	0.000251020129904188	0.14840956919373	-0.408339841758648
ENSG00000164512.18	ANKRD55	1.24427014537109	1.7730479100522	4.19994851682762	4.79134468562807e-05	0.14840956919373	1.45399351635821
ENSG00000166407.14	LMO1	1.61957453640065	1.8610644171615	3.79678412812282	0.000219763524757269	0.14840956919373	0.288285735852754
ENSG00000171067.11	C11orf24	-0.515615994795085	4.97893490936863	-3.82222814601497	0.000200257130332449	0.14840956919373	0.546705392697809
ENSG00000182199.11	SHMT2	-0.751466100566062	4.75052057640076	-3.91304714620369	0.000143206531537579	0.14840956919373	0.834433490181301
ENSG00000186105.8	LRRC70	1.79687064704436	0.945228923292028	3.7801171706866	0.000233504506444427	0.14840956919373	0.024201718361164
ENSG00000186818.12	LILRB4	-0.578803992600224	7.63816435142355	-3.90493834965981	0.000147591788213647	0.14840956919373	0.820156018186528
ENSG00000197822.11	OCLN	1.16092406721493	1.58064384566074	3.76891185481296	0.00024319670586496	0.14840956919373	0.174097040093658
ENSG00000205336.11	ADGRG1	-0.879516263696658	8.14480316082876	-3.92094006048679	0.000139057364189886	0.14840956919373	0.871065710775523
ENSG00000213347.10	MXD3	1.20362143288161	3.79649905712636	3.69370054731149	0.000318822879758188	0.14840956919373	0.137168829787822
ENSG00000214226.9	C17orf67	0.969900896416843	2.26191053868385	3.74741604049002	0.000262867534579339	0.14840956919373	0.187030658270275
ENSG00000228696.8	ARL17B	0.600972668500187	3.48087163114408	3.72122135207356	0.000288878729039587	0.14840956919373	0.2098185059572
ENSG00000237268.2	AC092447.7	2.05873082135533	-1.11349066357445	3.72138461443532	0.000288709310004567	0.14840956919373	-0.705906788331402
ENSG00000277053.4	GTF2IP1	0.642097090307588	4.81491881794644	3.72759019649016	0.000282339037035805	0.14840956919373	0.251727187717377
ENSG00000286231.1	AL445423.2	2.29180329087669	-1.00346929180337	3.83215748074505	0.00019310052451566	0.14840956919373	-0.299749948802517
ENSG00000105135.16	ILVBL	-0.482357630460758	5.09958708500781	-3.68196362150153	0.000332466973691214	0.149090125715017	0.109112053943658
ENSG00000136463.8	TACO1	-0.674980613871284	3.10435982677726	-3.6657662158079	0.000352205698063744	0.150237206181386	-0.0251559174645406
ENSG00000155465.18	SLC7A7	-0.382170320357377	6.67950054396216	-3.66795916089306	0.000349469892818026	0.150237206181386	0.064224165965455
ENSG00000072818.12	ACAP1	1.07077355970947	4.70931058786148	3.62646528811079	0.000404804629433267	0.151994698056019	-0.0620428888104207
ENSG00000105552.15	BCAT2	-0.437720016867277	3.55238391898418	-3.61793503518311	0.000417161959328088	0.151994698056019	-0.116619773884068
ENSG00000141562.18	NARF	0.613088646008637	6.44188439612636	3.62248322913679	0.000410529576236969	0.151994698056019	-0.0773350238808144
ENSG00000177112.7	MRVI1-AS1	1.17248892538086	-0.496697892166539	3.6321606184888	0.000396747443137508	0.151994698056019	-0.861761441970144
ENSG00000183751.14	TBL3	-0.478770237212056	4.53421593840213	-3.62187201040265	0.000411415055621814	0.151994698056019	-0.0778766439765182
ENSG00000225783.7	MIAT	1.15083437709945	2.75972630806418	3.62140623705777	0.000412091037121361	0.151994698056019	-0.122045316792466
ENSG00000274180.1	NATD1	1.17880503539547	1.69288380444326	3.62381650428493	0.000408604286068747	0.151994698056019	-0.256799143606669
ENSG00000163412.13	EIF4E3	1.36484893457315	3.62508203180642	3.56398004225893	0.000503962025602331	0.17245320769544	-0.253691380945348
ENSG00000165181.16	SHOC1	1.04252135892991	0.679239548894782	3.56579240230573	0.000500788759632788	0.17245320769544	-0.599156285915402
ENSG00000197006.14	METTL9	0.791962251520739	7.06572547760634	3.56403099293189	0.000503872557613	0.17245320769544	-0.254524703704145
ENSG00000225484.6	NUTM2B-AS1	0.572721660267317	4.93926304926879	3.55901387633074	0.000512754691529697	0.17245320769544	-0.269067612495796
ENSG00000180953.11	ST20	1.03756089080754	2.31954517757941	3.54299504538867	0.000542111662259758	0.178886620023791	-0.390617778802559
ENSG00000123992.19	DNPEP	-0.407318479027396	4.96641227460126	-3.52722576301674	0.000572552098513848	0.179058658839551	-0.361402302229997
ENSG00000159189.12	C1QC	-0.836866524147374	8.80171417187887	-3.53142151370835	0.000564299318800588	0.179058658839551	-0.349137696138191
ENSG00000232533.1	AC093673.1	0.65672985945971	3.01547650274537	3.52682408859813	0.000573348098519919	0.179058658839551	-0.391012113330498
ENSG00000110172.12	CHORDC1	0.601898475378275	6.37473520164425	3.4778124498311	0.00067868846474514	0.185156780051713	-0.516717310238846
ENSG00000111011.18	RSRC2	0.377228246002423	6.39165049928626	3.47376424710918	0.000688157739342522	0.185156780051713	-0.528900379396346
ENSG00000140105.18	WARS	-0.726836866687304	6.8414761482173	-3.50923716013385	0.000609239359258469	0.185156780051713	-0.419670496025013
ENSG00000166595.12	CIAO2B	-0.483119316891135	5.01607265409319	-3.4873800682516	0.000656793026714244	0.185156780051713	-0.479290142098449
ENSG00000172007.6	RAB33B	0.500132699505144	4.97048855830951	3.47930243309112	0.000675234133594885	0.185156780051713	-0.507407295931715
ENSG00000176463.14	SLCO3A1	1.29671813797313	3.29020684284402	3.50230719094234	0.000623954216102359	0.185156780051713	-0.439675708314507
ENSG00000177144.7	NUDT4B	1.25778110706401	0.736846951792755	3.49566805161232	0.000638364538767907	0.185156780051713	-0.725439922968505
ENSG00000186831.11	KRT17P2	1.90143713456081	1.0923294418159	3.49837026475071	0.000632461991090073	0.185156780051713	-0.580688407375283
ENSG00000280832.1	GSEC	1.4664247774392	1.79502582945246	3.49201137002291	0.000646434481412967	0.185156780051713	-0.564418801102968
ENSG00000166278.15	C2	-0.805662315485904	5.53759987661512	-3.46770714451624	0.000702558207818598	0.186167280250598	-0.537964628310784
ENSG00000285006.1	AC005280.3	1.42914426674252	-0.145938744668584	3.46281438509425	0.000714396713516719	0.186478867502894	-1.02984441627696
ENSG00000279227.1	AC009303.4	1.09061481331289	2.33151567273892	3.45530795701268	0.000732924077400345	0.188501605730215	-0.639539036237338
ENSG00000125818.18	PSMF1	-0.303094201362094	6.17542709742864	-3.42080744564585	0.000824029650482736	0.206338217132336	-0.684672887977934
ENSG00000185803.9	SLC52A2	-0.623922518938637	4.63517575468345	-3.41640808375558	0.000836382529613946	0.206338217132336	-0.684851752883489
ENSG00000188153.13	COL4A5	1.51564324920793	-0.813207583752374	3.41595301916979	0.000837670159322767	0.206338217132336	-1.28835717717402
ENSG00000196781.15	TLE1	1.07622038501558	1.5222723762806	3.40903707034355	0.000857469439399356	0.206612038617879	-0.874817783987339
ENSG00000204389.9	HSPA1A	0.980594911085489	12.6453776258911	3.40733485875626	0.000862409447029855	0.206612038617879	-0.726195271664999
ENSG00000101236.17	RNF24	0.941571774612022	5.45741623076796	3.3963332649654	0.000894986380296641	0.208143319223753	-0.75511916868787
ENSG00000196230.13	TUBB	-0.469729563251123	7.50247658561665	-3.39318946562244	0.000904505246783991	0.208143319223753	-0.763252805901948
